,0,1,2,3,4,5,6,7,8,9
10900113062,CS401,CS604A/ CS604B,CS301,CS303,CS302,M(CS)401,CS402,CS403,CS501,CS502
10900113063,CS303,CS604A/ CS604B,CS301,CS302,CS401,CS402,CS403,CS501,CS503,CS504D
10900113064,CS301,CS604A/ CS604B,CS303,CS402,CS504D,CS201,CS302,CS393,CS401,CS403
10900113065,CS301,CS303,CS402,CS604A/ CS604B,CS302,CS401,CS502,CS504D,CS601,CS201
10900113066,CS303,CS301,CS402,CS403,CS501,CS504D,CS601,CS603,CS604A/ CS604B,CS302
10900113067,CS303,CS301,CS302,CS602,CS603,CS604A/ CS604B,CS201,M(CS)401,CS502,CS503
10900113068,CS501,CS603,CS301,CS302,CS303,M(CS)401,CS403,CS503,CS504D,CS592
10900113069,CS403,CS602,CS201,CS301,CS302,CS303,CS501,CS503,CS601,CS604A/ CS604B
10900113070,CS301,CS303,CS302,M(CS)401,CS401,CS403,CS602,CS603,CS604A/ CS604B,CS201
10900113071,CS301,CS303,CS602,CS604A/ CS604B,CS302,CS403,CS501,CS502,CS603,CS605A
10900113072,CS301,CS403,CS604A/ CS604B,CS201,CS303,CS402,CS501,CS503,CS601,CS602
10900113073,CS201,CS301,CS302,CS402,CS502,CS503,CS604A/ CS604B,CS303,CS403,CS501
10900113074,CS303,CS503,CS605A,CS201,CS301,CS302,CS603,CS604A/ CS604B,M(CS)401,CS402
10900113075,CS301,CS303,CS502,CS503,CS603,CS604A/ CS604B,CS302,CS401,CS402,CS403
10900113076,CS301,CS503,CS302,CS303,CS403,CS502,CS601,CS603,CS604A/ CS604B,CS392
10900113077,CS301,CS403,CS603,CS302,CS303,CS401,CS402,CS502,CS601,CS602
10900113078,CS301,CS303,CS201,CS302,CS402,CS403,CS501,CS502,CS603,M(CS)401
10900113079,CS601,CS603,CS303,CS402,CS403,CS502,CS602,CS604A/ CS604B,CS201,CS301
10900113080,CS301,CS503,CS601,CS602,CS604A/ CS604B,CS303,CS401,CS402,CS403,CS502
10900113081,CS502,CS301,CS303,CS402,CS403,CS503,CS602,CS603,CS604A/ CS604B,CS201
10900113082,CS301,CS302,CS303,CS403,CS502,M(CS)401,CS401,CS402,CS501,CS503
